Sl. No.,STATE/U.T.,Enrolment in Class I - Boys,Enrolment in Class I - Girls,Enrolment in Class I - Total,Enrolment in Class II - Boys,Enrolment in Class II - Girls,Enrolment in Class II - Total,Enrolment in Class III - Boys,Enrolment in Class III - Girls,Enrolment in Class III - Total,Enrolment in Class IV - Boys,Enrolment in Class IV - Girls,Enrolment in Class IV - Total,Enrolment in Class V - Boys,Enrolment in Class V - Girls,Enrolment in Class V - Total,Enrolment in Class I to V - Boys,Enrolment in Class I to V - Girls,Enrolment in Class I to V - Total
1,Andaman  Nicobar Islands,2163,2065,4228,2085,1963,4048,2091,2041,4132,2175,2055,4230,2150,2151,4301,10664,10275,20939
2,Andhra Pradesh,558085,540228,1098313,480903,477268,958171,471083,467679,938762,460050,458577,918627,459696,457553,917249,2429817,2401305,4831122
3,Arunachal Pradesh,23412,21262,44674,18174,16273,34447,16131,14679,30810,13894,12821,26715,12467,11108,23575,84078,76143,160221
4,Assam,341859,333590,675449,282068,277551,559619,254896,253455,508351,236660,238623,475283,229937,232349,462286,1345420,1335568,2680988
5,Bihar,1780830,1671065,3451895,1599825,1514570,3114395,1547705,1445639,2993344,1288401,1156335,2444736,1078188,917265,1995453,7294949,6704874,13999823
6,Chandigarh,642,618,1260,669,596,1265,752,679,1431,802,698,1500,744,684,1428,3609,3275,6884
7,Chhattisgarh,288516,277597,566113,264440,251810,516250,260472,247334,507806,257981,250089,508070,233733,226406,460139,1305142,1253236,2558378
8,Dadra  Nagar Haveli,3077,2784,5861,3014,3009,6023,3205,2951,6156,2988,2834,5822,2932,2758,5690,15216,14336,29552
9,Daman  Diu,1093,1054,2147,980,921,1901,959,823,1782,818,782,1600,1020,878,1898,4870,4458,9328
10,Delhi,12336,11042,23378,12767,11999,24766,12650,10887,23537,12209,10645,22854,11636,9806,21442,61598,54379,115977
11,Goa,5282,4778,10060,5152,4797,9949,4948,4595,9543,5467,5016,10483,5476,4649,10125,26325,23835,50160
12,Gujarat,440949,388723,829672,412537,365486,778023,414991,366122,781113,408316,361699,770015,399408,358551,757959,2076201,1840581,3916782
13,Haryana,213557,187412,400969,210933,182422,393355,209911,179186,389097,204370,172269,376639,181354,151276,332630,1020125,872565,1892690
14,Himachal Pradesh,55469,51501,106970,53447,50311,103758,53866,50471,104337,56611,51194,107805,58291,53042,111333,277684,256519,534203
15,Jammu  Kashmir,110518,99701,210219,96215,86870,183085,92780,85022,177802,93858,85844,179702,96384,87018,183402,489755,444455,934210
16,Jharkhand,540989,527969,1068958,411198,404902,816100,391362,386455,777817,370269,364849,735118,339934,324550,664484,2053752,2008725,4062477
17,Karnataka,350222,325376,675598,351450,330634,682084,359557,338315,697872,353608,331955,685563,353004,332984,685988,1767841,1659264,3427105
18,Kerala,164098,159056,323154,174952,166923,341875,183534,174954,358488,193273,184655,377928,199947,186175,386122,915804,871763,1787567
19,Lakshadweep,360,338,698,388,388,776,410,357,767,420,458,878,518,598,1116,2096,2139,4235
20,Madhya Pradesh,861132,824026,1685158,751467,760888,1512355,737708,745850,1483558,690102,715122,1405224,637779,655849,1293628,3678188,3701735,7379923
21,Maharashtra,672917,607066,1279983,643490,576981,1220471,632800,563433,1196233,620791,559198,1179989,586022,523514,1109536,3156020,2830192,5986212
22,Manipur,39790,39631,79421,31911,31326,63237,25171,24396,49567,23025,22316,45341,21780,20883,42663,141677,138552,280229
23,Meghalaya,56257,54462,110719,39946,39038,78984,33763,33889,67652,27300,28235,55535,24101,25970,50071,181367,181594,362961
24,Mizoram,13187,11769,24956,8564,7488,16052,7672,6940,14612,6308,5563,11871,5585,4758,10343,41316,36518,77834
25,Nagaland,21088,20120,41208,19351,18558,37909,17665,16755,34420,14731,14223,28954,11739,11644,23383,84574,81300,165874
26,Orissa,420571,392506,813077,394376,372597,766973,382002,367718,749720,361193,344752,705945,353456,336559,690015,1911598,1814132,3725730
27,Puducherry,4662,4335,8997,4705,4274,8979,4665,4219,8884,4298,4193,8491,4748,4462,9210,23078,21483,44561
28,Punjab,152087,130288,282375,145180,123370,268550,146478,122495,268973,147502,122491,269993,144568,120764,265332,735815,619408,1355223
29,Rajasthan,897283,785870,1683153,723904,646976,1370880,650097,576462,1226559,578652,500053,1078705,559598,471616,1031214,3409534,2980977,6390511
30,Sikkim,7652,7285,14937,7300,6935,14235,7929,7540,15469,7813,7927,15740,6133,6724,12857,36827,36411,73238
31,Tamil Nadu,298149,286649,584798,296718,286877,583595,310367,297565,607932,322361,305462,627823,337650,319643,657293,1565245,1496196,3061441
32,Tripura,37808,36308,74116,32797,31424,64221,35615,33317,68932,33750,31462,65212,35059,32850,67909,175029,165361,340390
33,Uttar Pradesh,2303324,2079721,4383045,2152470,1984417,4136887,2136016,2032590,4168606,1939232,1929989,3869221,1750047,1733904,3483951,10281089,9760621,20041710
34,Uttarakhand,95938,87970,183908,84054,78129,162183,82669,79579,162248,82370,79233,161603,78655,75256,153911,423686,400167,823853
35,West Bengal,781400,746989,1528389,616930,602520,1219450,596990,590305,1187295,601805,603448,1205253,651013,668652,1319665,3248138,3211914,6460052
INDIA,INDIA,11556702,10721154,22277856,10334360,9720491,20054851,10088910,9534697,19623607,9423403,8965065,18388468,8874752,8372849,17247601,50278127,47314256,97592383
