State,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
Andaman & Nicobar Islands,NA,NA,NA,NA,30,18,12,3,0,0,NA,NA,9,23,NA,NA,51,44,95
Andhra Pradesh,411,125,41,7,71762,59822,330785,240604,380,200,16838,13947,229,118,588,279,421034,315102,736136
Arunachal Pradesh,0,0,NA,NA,NA,NA,514,732,NA,NA,NA,NA,NA,NA,NA,NA,514,732,1246
Assam,150,65,NA,NA,10020,11421,6568,6150,756,746,218,244,40,204,317,322,18069,19152,37221
Bihar,6,2,NA,NA,3366,1791,24983,14317,21,60,1940,949,28,17,NA,NA,30344,17136,47480
Chandigarh,1,0,NA,NA,186,353,863,1450,32,78,NA,NA,NA,NA,NA,NA,1082,1881,2963
Chhatisgarh,59,52,125,93,4453,4503,44034,30010,1398,1324,4048,1482,95,107,273,242,54485,37813,92298
Dadra & Nagar Haveli,NA,NA,NA,NA,127,78,1252,941,0,0,NA,NA,NA,NA,NA,NA,1379,1019,2398
Daman & Diu,NA,NA,NA,NA,NA,NA,53,219,NA,NA,NA,NA,NA,NA,NA,NA,53,219,272
Delhi,40,33,NA,NA,17885,10022,47064,22570,1356,710,4700,3559,719,749,181,139,71945,37782,109727
Goa,NA,NA,NA,NA,304,572,2105,1839,43,27,11,3,6,17,NA,NA,2469,2458,4927
Gujarat,543,257,164,142,37751,24026,218261,134696,2376,1994,56940,10630,3858,4386,3185,3886,323078,180017,503095
Haryana,271,324,72,74,13877,16346,85506,49304,336,329,32717,5949,745,875,380,216,133904,73417,207321
Himachal Pradesh,143,139,10,41,7620,6745,24815,15915,511,576,5416,1732,9,20,18,2,38542,25170,63712
Jammu and Kashmir,27,18,NA,NA,1269,958,7076,7260,10,0,16,0,NA,NA,409,390,8807,8626,17433
Jharkhand,0,19,NA,NA,1309,1944,7208,6650,116,121,12,119,75,93,46,39,8766,8985,17751
Karnataka,358,181,43,97,41626,30217,238362,183059,2262,1508,68773,43562,589,769,1736,1172,353749,260565,614314
Kerala,14,20,14,15,13551,18809,93908,94087,50,114,4292,12032,36,806,152,54,112017,125937,237954
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
Madhya Pradesh,44,14,245,161,35135,18562,177422,87622,65380,3711,65153,5227,168,264,507,291,344054,115852,459906
Maharashtra,1253,548,294,259,75756,54568,273010,170532,3687,2727,116996,46906,1440,860,743,759,473179,277159,750338
Manipur,NA,NA,NA,NA,12,21,748,675,NA,NA,NA,NA,31,23,NA,NA,791,719,1510
Meghalaya,1,1,NA,NA,307,375,4612,4593,31,18,0,120,NA,NA,NA,NA,4951,5107,10058
Mizoram,NA,NA,NA,NA,42,29,391,180,1,1,9,290,NA,NA,NA,NA,443,500,943
Nagaland,NA,NA,NA,NA,6656,4,4041,3478,0,0,128,39,NA,NA,NA,NA,10825,3521,14346
Odisha,227,126,45,66,6905,4488,43924,18971,52,29,16617,2300,0,0,231,114,68001,26094,94095
Puducherry,NA,NA,NA,NA,1033,921,6103,5634,27,17,71,9,NA,NA,NA,NA,7234,6581,13815
Punjab,369,268,20,25,9145,11776,54839,31771,765,1343,38318,5174,29,93,391,281,103876,50731,154607
Rajasthan,366,486,200,178,14567,16977,137573,88226,1272,557,10894,2706,1018,1746,621,193,166511,111069,277580
Sikkim,NA,NA,NA,NA,1933,370,572,831,NA,NA,347,132,NA,NA,NA,NA,2852,1333,4185
Tamil Nadu,2948,2440,2177,4720,102430,104063,674300,630441,2990,957,293993,59365,3694,4780,2577,2253,1085109,809019,1894128
Telangana,432,213,19,37,49950,36956,230993,169372,1181,603,3445,7624,654,433,980,635,287654,215873,503527
Tripura,NA,NA,NA,NA,2292,1931,5422,2621,NA,NA,22,171,0,0,NA,NA,7736,4723,12459
Uttar Pradesh,1028,558,248,273,67112,56042,621090,465649,1752,931,8421,7513,3302,2126,4673,2076,707626,535168,1242794
Uttrakhand,56,23,NA,NA,4859,4356,29297,15282,134,155,4220,631,123,85,198,119,38887,20651,59538
West Bengal,249,53,47,40,43501,51959,86205,33639,1274,370,19643,5005,2455,1120,532,432,153906,92618,246524
All India,8996,5965,3764,6228,646771,551023,3483911,2539323,88193,19206,774198,237420,19352,19714,18738,13894,5043923,3392773,8436696
